Year,Length,Stages,Winner,Speed
1950,4773,22,Fredi Kubler,32.78
1951,4690,24,Hugo Koblet,32.95
1952,4898,23,Fausto Coppi,32.23
1953,4476,22,Louison Bobet,34.59
1954,4656,23,Louison Bobet,33.23
1955,4495,22,Louison Bobet,35.45
1956,4498,22,Roger Walkowiak,36.37
1957,4665,22,Jacques Anquetil,34.25
1958,4319,24,Gharly Gaul,36.92
1959,4391,22,Federico Bahamontes,35.47
1960,4173,22,Gastone Nencini,37.21
1961,4397,21,Jacques Anquetil,36.03
1962,4274,22,Jacques Anquetil,37.31
1963,4137,21,Jacques Anquetil,37.09
1964,4504,22,Jacques Anquetil,35.42
1965,4177,22,Felice Gimondi,35.89
1966,4322,22,Lucien Aimar,36.76
1967,4758,22,Roger Pingeon,34.76
1968,4492,22,Jan Janssen,33.56
1969,4117,22,Eddy Mercx,35.41
1970,4254,23,Eddy Mercx,35.56
1971,3608,23,Eddy Mercx,38.08
1972,3846,20,Eddy Mercx,35.51
1973,4090,20,Luis Ocana,33.41
1974,4098,22,Eddy Mercx,35.24
1975,3999,22,Bernard Thevenet,34.91
1976,4016,22,Lucien Van Impe,34.52
1977,4092,22,Bernard Thevenet,35.42
1978,3914,22,Bernard Hinault,36.08
1979,3720,24,Bernard Hinault,36.51
1980,3946,22,Joop Zoetemelk,35.14
1981,3757,24,Bernard Hinault,38.96
1982,3512,21,Bernard Hinault,38.06
1983,3962,22,Laurent Fignon,36.23
1984,4021,23,Laurent Fignon,35.88
1985,4127,22,Bernard Hinault,36.23
1986,4083,23,Greg Lemond,37.02
1987,4231,25,Stephen Roche,36.65
1988,3286,22,Pedro Delgado,38.91
1989,3285,21,Greg Lemond,37.49
1990,3504,21,Greg Lemond,38.62
1991,3914,22,Miguel Indurain,38.75
1992,3983,21,Miguel Indurain,39.5
1993,3714,20,Miguel Indurain,38.71
1994,3978,21,Miguel Indurain,38.38
1995,3653,20,Miguel Indurain,39.19
1996,3907,21,Bjarne Riis,39.23
1997,3950,21,Jan Ullrich,39.24
1998,3875,21,Marco Pantani,39.99
1999,3686,20,Lance Armstrong,40.28
2000,3875,21,Lance Armstrong,39.57
2001,3446,20,Lance Armstrong,40.07
2002,3282,20,Lance Armstrong,39.92
2003,3427,20,Lance Armstrong,40.94
2004,3391,20,Lance Armstrong,40.55
2005,3608,21,Lance Armstrong,41.65
2006,3657,20,Oscar Pereiro Sio,40.78
2007,3547,20,Alberto Contador,39.22
2008,3559,21,Carlos Sastre,40.49
2009,3459,21,Alberto Contador,40.31
2010,3641,20,Andy Schleck,39.59
2011,3430,21,Cadel Evans,39.78
2012,3488,20,Bradley Wiggins,39.88
2013,3403,21,Chris Froome,40.55
2014,3660,21,Nairo Quintana,40.69
2015,3360,21,Chris Froome,39.64
